job_title,salary_usd,experience_level,employment_type,company_location,company_size,remote_ratio,required_skills,education_required,years_experience,posting_date,application_deadline,company_name,industry,benefits_score
Data Scientist,219728,Executive-Level,Part-Time,SWEDEN,Medium,on-site,"python, computer vision, r, docker",Associate,13,23-09-2024,31-10-2024,TechCorp Inc,Transportation,6.6
Head Of Ai,230237,Executive-Level,Part-Time,JAPAN,Large,Hybrid,"kubernetes, mlops, tableau, python",Bachelor,10,26-07-2024,12-09-2024,Cloud AI Solutions,Transportation,8.5
Data Engineer,128890,Executive-Level,Contract,GERMANY,Small,Fully remote,"spark, scala, hadoop, pytorch, gcp",Bachelor,12,19-01-2025,28-03-2025,Quantum Computing Inc,Automotive,5.5
Computer Vision Engineer,96349,Mid-Level,Freelance,FINLAND,Large,Hybrid,"mlops, linux, tableau, python",PhD,2,20-07-2024,06-09-2024,Cognitive Computing,Automotive,6.8
Robotics Engineer,63065,Entry-Level,Full-Time,FRANCE,Small,Fully remote,"r, scala, sql, gcp, python",Associate,0,16-03-2025,09-05-2025,Advanced Robotics,Finance,9.3
Data Scientist,111794,Senior-Level,Contract,SINGAPORE,Small,Hybrid,"nlp, mlops, tensorflow",Master,7,10-11-2024,20-01-2025,Cloud AI Solutions,Technology,5.1
Ai Consultant,113897,Senior-Level,Part-Time,CANADA,Large,Hybrid,"pytorch, linux, nlp",Associate,9,29-02-2024,21-04-2024,AI Innovations,Gaming,7.4
Head Of Ai,168639,Senior-Level,Full-Time,AUSTRALIA,Large,Fully remote,"spark, sql, tableau, computer vision, linux",Associate,9,26-02-2024,17-03-2024,TechCorp Inc,Consulting,5.5
Data Scientist,92624,Mid-Level,Full-Time,JAPAN,Large,Hybrid,"kubernetes, sql, docker, deep learning",Bachelor,4,18-08-2024,03-10-2024,DataVision Ltd,Government,9.5
Machine Learning Engineer,215627,Executive-Level,Full-Time,UNITED KINGDOM,Medium,Hybrid,"git, scala, gcp",PhD,10,18-01-2025,20-03-2025,DeepTech Ventures,Government,7.8
Data Engineer,129706,Mid-Level,Contract,DENMARK,Large,on-site,"sql, pytorch, statistics, tensorflow, nlp",Bachelor,3,10-03-2024,17-05-2024,Cloud AI Solutions,Consulting,5.2
Deep Learning Engineer,76559,Entry-Level,Freelance,UNITED STATES,Small,Fully remote,"data visualization, mathematics, pytorch, gcp",Bachelor,1,09-02-2025,14-04-2025,Machine Intelligence Group,Government,8.3
Principal Data Scientist,185834,Executive-Level,Contract,UNITED STATES,Large,Fully remote,"linux, data visualization, python, tensorflow",Associate,14,27-03-2024,03-06-2024,Autonomous Tech,Telecommunications,8.9
Principal Data Scientist,89801,Mid-Level,Part-Time,SWEDEN,Medium,Fully remote,"linux, mlops, deep learning",Master,3,30-10-2024,06-01-2025,Cloud AI Solutions,Healthcare,8.7
Principal Data Scientist,252601,Executive-Level,Part-Time,NORWAY,Large,Fully remote,"kubernetes, sql, aws, git, computer vision",Master,19,24-07-2024,14-08-2024,TechCorp Inc,Gaming,5.1
Ai Product Manager,20520,Entry-Level,Full-Time,INDIA,Small,on-site,"hadoop, git, computer vision, kubernetes, data visualization",Master,0,22-08-2024,05-10-2024,Predictive Systems,Gaming,7.5
Robotics Engineer,192789,Senior-Level,Part-Time,SWITZERLAND,Small,Fully remote,"tableau, git, python, java",Master,5,27-03-2024,08-06-2024,Quantum Computing Inc,Healthcare,5.9
Machine Learning Researcher,107184,Senior-Level,Freelance,SINGAPORE,Small,Hybrid,"azure, gcp, computer vision",Master,7,07-05-2024,28-05-2024,DeepTech Ventures,Automotive,9.2
Robotics Engineer,141909,Senior-Level,Full-Time,NETHERLANDS,Medium,on-site,"git, kubernetes, mlops, spark",Associate,6,22-12-2024,20-01-2025,Cloud AI Solutions,Healthcare,7.8
Data Engineer,118238,Senior-Level,Freelance,IRELAND,Medium,Fully remote,"aws, python, azure, sql, computer vision",Associate,7,07-11-2024,02-01-2025,TechCorp Inc,Education,8.2
